"group","subgroup","occupation","year","workforce"
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Management Occupations","2014",405081
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Business & Financial Operations Occupations","2014",227155
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Computer & Mathematical Occupations","2014",96277
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Architecture & Engineering Occupations","2014",38237
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Life, Physical, & Social Science Occupations","2014",31405
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Community & Social Service Occupations","2014",79177
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Legal Occupations","2014",78236
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Education Instruction, & Library Occupations","2014",250536
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Arts, Design, Entertainment, Sports, & Media Occupations","2014",185099
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Diagnosing & Treating Practitioners & Other Technical Occupations","2014",146012
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Technologists & Technicians","2014",57199
"Service Occupations","Service Occupations","Healthcare Support Occupations","2014",184928
"Service Occupations","Service Occupations","Food Preparation & Serving Related Occupations","2014",246147
"Service Occupations","Service Occupations","Building & Grounds Cleaning & Maintenance Occupations","2014",185330
"Service Occupations","Service Occupations","Personal Care & Service Occupations","2014",199474
"Service Occupations","Protective Service Occupations","Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2014",69130
"Service Occupations","Protective Service Occupations","Law Enforcement Workers Including Supervisors","2014",36206
"Sales & Office Occupations","Sales & Office Occupations","Sales & Related Occupations","2014",401928
"Sales & Office Occupations","Sales & Office Occupations","Office & Administrative Support Occupations","2014",483499
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Farming, Fishing, & Forestry Occupations","2014",2509
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Construction & Extraction Occupations","2014",172425
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Installation, Maintenance, & Repair Occupations","2014",71910
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Production Occupations","2014",105536
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Transportation Occupations","2014",183812
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Material Moving Occupations","2014",56035
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Management Occupations","2013",365262
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Business & Financial Operations Occupations","2013",228652
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Computer & Mathematical Occupations","2013",98898
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Architecture & Engineering Occupations","2013",33511
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Life, Physical, & Social Science Occupations","2013",31514
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Community & Social Service Occupations","2013",80966
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Legal Occupations","2013",75537
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Education Instruction, & Library Occupations","2013",244623
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Arts, Design, Entertainment, Sports, & Media Occupations","2013",194342
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Diagnosing & Treating Practitioners & Other Technical Occupations","2013",143313
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Technologists & Technicians","2013",46960
"Service Occupations","Service Occupations","Healthcare Support Occupations","2013",193656
"Service Occupations","Service Occupations","Food Preparation & Serving Related Occupations","2013",227239
"Service Occupations","Service Occupations","Building & Grounds Cleaning & Maintenance Occupations","2013",189273
"Service Occupations","Service Occupations","Personal Care & Service Occupations","2013",185878
"Service Occupations","Protective Service Occupations","Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2013",73776
"Service Occupations","Protective Service Occupations","Law Enforcement Workers Including Supervisors","2013",34622
"Sales & Office Occupations","Sales & Office Occupations","Sales & Related Occupations","2013",402698
"Sales & Office Occupations","Sales & Office Occupations","Office & Administrative Support Occupations","2013",480437
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Farming, Fishing, & Forestry Occupations","2013",2164
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Construction & Extraction Occupations","2013",162164
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Installation, Maintenance, & Repair Occupations","2013",78751
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Production Occupations","2013",105705
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Transportation Occupations","2013",163907
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Material Moving Occupations","2013",56918
